Mode|Nom|Temps|Opt|nbfreq|maxfreq|deltafreq
--|----|----|---|-----|-----|-----
m1|celar_150_13_15_5_0.800000_26|20m1.371s|SATISFIABLE|8 | 672 | 602
m1|celar_150_13_15_5_0.800000_28|20m1.102s|SATISFIABLE|8 | 658 | 588
m1|celar_150_13_15_5_0.800000_29|20m1.121s|SATISFIABLE|8 | 490 | 462
m1|celar_150_13_15_5_0.800000_2|20m1.082s|SATISFIABLE|8 | 490 | 476
m1|celar_150_13_15_5_0.800000_8|20m1.057s|SATISFIABLE|8 | 714 | 658
m1|celar_250_25_15_5_0.820000_20|20m1.318s|SATISFIABLE|6 | 336 | 294
m1|celar_250_25_15_5_0.820000_22|20m1.211s|SATISFIABLE|8 | 658 | 588
m1|celar_250_25_15_5_0.820000_5|20m1.181s|SATISFIABLE|6 | 616 | 602
m1|celar_250_25_15_5_0.820000_7|20m1.231s|SATISFIABLE|8 | 476 | 462
m1|celar_250_25_15_5_0.820000_9|20m1.198s|SATISFIABLE|8 | 588 | 546
m1|celar_500_30_20_5_0.870000_24|20m3.026s|SATISFIABLE|14 | 728 | 714
m1|celar_500_30_20_5_0.870000_29|20m1.985s|SATISFIABLE|10 | 602 | 588
m1|celar_500_30_20_5_0.870000_45|20m2.238s|SATISFIABLE|9 | 700 | 686
m1|celar_500_30_20_5_0.870000_48|20m2.856s|SATISFIABLE|16 | 602 | 588
m1|celar_50_7_10_5_0.800000_0|4m36.689s|OPTIMUM|6 | 350 | 336
m1|celar_50_7_10_5_0.800000_1|0m41.101s|OPTIMUM|6 | 476 | 462
m1|celar_50_7_10_5_0.800000_6|1m26.768s|OPTIMUM|6 | 504 | 476
m1|celar_50_7_10_5_0.800000_7|5m40.801s|OPTIMUM|6 | 448 | 434
m1|celar_50_7_10_5_0.800000_8|0m38.645s|OPTIMUM|6 | 546 | 462
m2|celar_150_13_15_5_0.800000_26|0m2.266s|OPTIMUM|18 | 364 | 350
m2|celar_150_13_15_5_0.800000_28|0m2.653s|OPTIMUM|20 | 462 | 448
m2|celar_150_13_15_5_0.800000_29|0m2.810s|OPTIMUM|20 | 406 | 392
m2|celar_150_13_15_5_0.800000_2|0m2.199s|OPTIMUM|20 | 462 | 448
m2|celar_150_13_15_5_0.800000_8|0m3.808s|OPTIMUM|20 | 378 | 364
m2|celar_250_25_15_5_0.820000_20|0m3.380s|OPTIMUM|18 | 308 | 294
m2|celar_250_25_15_5_0.820000_22|0m3.815s|OPTIMUM|22 | 476 | 462
m2|celar_250_25_15_5_0.820000_5|0m3.733s|OPTIMUM|18 | 308 | 294
m2|celar_250_25_15_5_0.820000_7|0m3.026s|OPTIMUM|20 | 406 | 392
m2|celar_250_25_15_5_0.820000_9|0m3.064s|OPTIMUM|18 | 308 | 294
m2|celar_500_30_20_5_0.870000_24|0m7.422s|OPTIMUM|18 | 364 | 350
m2|celar_500_30_20_5_0.870000_29|0m9.454s|OPTIMUM|18 | 308 | 294
m2|celar_500_30_20_5_0.870000_45|0m10.079s|OPTIMUM|20 | 406 | 392
m2|celar_500_30_20_5_0.870000_48|0m8.902s|OPTIMUM|18 | 308 | 294
m2|celar_50_7_10_5_0.800000_0|0m1.207s|OPTIMUM|14 | 350 | 336
m2|celar_50_7_10_5_0.800000_1|0m1.436s|OPTIMUM|16 | 378 | 364
m2|celar_50_7_10_5_0.800000_6|0m1.185s|OPTIMUM|14 | 378 | 364
m2|celar_50_7_10_5_0.800000_7|0m1.234s|OPTIMUM|16 | 280 | 266
m2|celar_50_7_10_5_0.800000_8|0m1.279s|OPTIMUM|16 | 280 | 266
m3|celar_150_13_15_5_0.800000_26|0m19.562s|OPTIMUM|18 | 518 | 350
m3|celar_150_13_15_5_0.800000_28|0m14.349s|OPTIMUM|20 | 504 | 448
m3|celar_150_13_15_5_0.800000_29|0m30.323s|OPTIMUM|18 | 630 | 378
m3|celar_150_13_15_5_0.800000_2|0m9.365s|OPTIMUM|20 | 714 | 448
m3|celar_150_13_15_5_0.800000_8|0m44.520s|OPTIMUM|20 | 406 | 364
m3|celar_250_25_15_5_0.820000_20|1m32.075s|OPTIMUM|18 | 378 | 294
m3|celar_250_25_15_5_0.820000_22|0m16.071s|OPTIMUM|22 | 574 | 462
m3|celar_250_25_15_5_0.820000_5|0m31.205s|OPTIMUM|18 | 336 | 294
m3|celar_250_25_15_5_0.820000_7|0m23.716s|OPTIMUM|18 | 602 | 378
m3|celar_250_25_15_5_0.820000_9|1m31.343s|OPTIMUM|18 | 504 | 294
m3|celar_500_30_20_5_0.870000_24|0m44.375s|OPTIMUM|18 | 560 | 350
m3|celar_500_30_20_5_0.870000_29|3m55.025s|OPTIMUM|18 | 406 | 294
m3|celar_500_30_20_5_0.870000_45|1m19.564s|OPTIMUM|20 | 518 | 392
m3|celar_500_30_20_5_0.870000_48|9m42.582s|OPTIMUM|18 | 420 | 294
m3|celar_50_7_10_5_0.800000_0|0m4.716s|OPTIMUM|16 | 448 | 336
m3|celar_50_7_10_5_0.800000_1|0m3.514s|OPTIMUM|14 | 476 | 350
m3|celar_50_7_10_5_0.800000_6|0m3.992s|OPTIMUM|16 | 434 | 364
m3|celar_50_7_10_5_0.800000_7|0m5.539s|OPTIMUM|14 | 350 | 238
m3|celar_50_7_10_5_0.800000_8|0m2.827s|OPTIMUM|14 | 434 | 252
